"station_names","wmo_id","ThunderstormDaysAmount","RecordCompleteness","ObservationYears","HeightASL","Lat","Lon"
"Aalesund","01224",3,0.824237468624021,14,15,62.4666666666667,6.2
"Abramovskij Majak ","22365",43,0.91793087715296,14,24,66.383341,43.250005
"Agata ","23383",107,0.943022051206157,20,278,66.916685,93.483343
"Ahtari ","02924",26,0.953738564938702,20,157,62.533344,24.216671
"Ajon ","25042",2,1.48392172961138,10,13,69.916685,167.966686
"AKLAVIK","71957",1,0.988178183894917,20,6.4,68.223,-135.006
"Akurnes ","04082",16,0.970191649555099,20,17,64.300006,-15.216671
"Aleksandrovskoe ","23955",468,0.997707049965777,20,47,60.433342,77.866684
"Alesund / Vigra ","01210",175,0.952334436141692,20,2,62.566678,6.116669
"ALLEN ARMY AIRFIELD","70267",86,0.995307502595275,19,389.2,63.994,-145.721
"Alta Lufthavn ","01049",21,0.978499260719566,20,3,69.983353,23.366674
"Altay ","23939",136,0.960985626283368,11,30,60.33334,68.950019
"Amderma ","23022",57,1,20,47,69.783349,61.650013
"Amga ","24962",253,0.998288843258042,20,148,60.900018,131.983353
"Anadyr' ","25563",19,0.995859000684463,20,60,64.783349,177.566678
"Andoya ","01010",63,0.978360448586321,20,1,69.300006,16.150003
"Andryushkino ","25017",11,0.917436687200548,9,16,69.16667,154.50001
"Antipajuta ","23058",5,0.977937515558875,11,3,69.100002,76.850017
"Apatity ","22213",66,0.303519199924521,16,133,67.550011,33.350007
"Apuka ","25956",3,0.929842747613832,18,8,60.433342,169.66668
"Arhangel'Sk ","22550",265,0.999897330595483,20,13,64.50001,40.733348
"Arka ","24988",83,0.998220396988364,20,198,60.083335,142.33334
"Bahta ","23776",105,0.970311430527036,9,57,62.450009,89
"Bajkit ","23891",278,0.951797679948123,20,261,61.66668,96.366674
"Baker Lake A, Nu ","71926",46,1.00751007681192,20,18,64.283339,-96.066668
"Banak ","01059",17,0.93260981990752,19,8,70.066668,24.983353
"Bardufoss ","01023",41,0.982355341441584,20,7,69.066668,18.533344
"Base Arturo Prat ","89057",1,0.72944900752909,20,5,-62.50001,-59.683347
"Base Belgrano Ii ","89034",1,0.928571428571429,20,251,-77.866684,-34.616679
"Base Bernardo O'Higgins ","89059",12,0.929158110882957,20,10,-63.316673,-56.683347
"Base Carlini ","89053",3,0.931673511293635,20,4,-62.233338,-58.633346
"Base Orcadas ","88968",1,0.935181382614647,20,6,-60.750015,-44.716681
"Base San Martin ","89066",1,0.926694045174538,20,4,-68.133336,-67.133336
