"WMO post","Years of observation","Lat","Lon","Thunderstorm days per year","Data completeness"
"Gajny ",20,60.283339,54.350007,23.95,100
"Vozega ",20,60.466676,40.200004,23.9,100
"Ob. Jacevo ",20,60.366674,49.650013,21.55,100
"Aleksandrovskoe ",20,60.433342,77.866684,21.2,100
"Belozersk ",20,60.033334,37.783349,20,100
"Ugut ",9,60.516677,74.033334,19.6666666666667,96
"Kargopol ",20,61.50001,38.933352,18.85,100
"Syktyvkar ",20,61.66668,50.783349,18.55,100
"Ivdel ",20,60.683347,60.450009,18.4,100
"Lensk ",20,60.716681,114.883351,18.4,100
"Kotlas ",20,61.233338,46.716681,18.25,100
"Senkursk ",20,62.100002,42.900018,18.15,100
"Ust'- Kulom ",20,61.683347,53.683347,17.9,100
"Cherdyn ",20,60.400008,56.516677,17.85,100
"Kogalym ",8,62.233338,74.483343,17.75,96
"Jarcevo ",20,60.250005,90.233338,17.45,99
"Vanavara ",20,60.33334,102.266672,17.45,99
"Vel'Sk ",20,61.083335,42.066668,17.35,100
"Sytomino ",8,61.300006,71.300006,17,96
"Konevo ",10,62.133336,39.33334,16.9,56
"Bergen / Florida ",20,60.383341,5.33334,16.65,99
"Sura ",20,63.583345,45.633346,16.65,100
"Troicko-Pecherskoe ",20,62.700014,56.200004,16.65,100
"Nizhnevartovsk ",10,60.916685,76.600012,16.6,96
"Yaksha ",10,61.83335,56.866684,16.3,71
"Pudoz ",20,61.800016,36.583345,15.85,100
"Njandoma ",15,61.66668,40.183337,15.8,93
"Larjak ",13,61.100002,80.266672,15.6153846153846,98
"Hanty-Mansijsk ",20,61.016667,69.116669,15.6,100
"Ust'- Maja ",20,60.383341,134.450009,15.6,100
"Oktjabr'Skoe ",20,62.450009,66.050001,15.5,100
"Medvezegorsk ",20,62.916685,34.433342,15.45,100
"Sortavala ",20,61.716681,30.716681,15.45,100
"Kalevala ",20,65.216671,31.16667,15.4,100
"Bor ",20,61.600012,90.016667,15.35,99
"Chernishevskij ",20,63.033334,112.483343,15.3,100
"Olekminsk ",20,60.400008,120.416675,15.25,100
"Sym ",20,60.350007,88.366674,15.15,98
"Fort Smith, N. W. T. ",20,60.016667,-111.950019,15,100
"Shangaly ",11,61.133336,43.350007,15,56
"Uhta ",20,63.550011,53.816683,14.75,100
"Vyborg ",20,60.716681,28.733348,14.7,100
"Vonegan ",8,61.950019,64.900018,14.625,96
"Saim ",20,60.316673,64.216671,14.4,99
"Pechora ",20,65.116669,57.100002,14.35,100
"Suntar ",20,62.150003,117.650013,14.15,100
"Izhma ",10,65.033334,53.966686,13.9,56
"Onega ",20,63.900018,38.116669,13.85,100
"Vesljana ",20,62.983353,50.900018,13.85,100
"Bajkit ",20,61.66668,96.366674,13.3,95
"Emeck ",10,63.483343,41.800016,13.3,57
"Amga ",20,60.900018,131.983353,13.25,100
"Petrozavodsk ",20,61.816683,34.266672,13.25,100
"Fort Simpson, N. W. T. ",20,61.750015,-121.233338,13.2,100
"Holmogory ",10,64.216671,41.66668,13,67
"Vilegodskoe ",10,61.116669,47.983353,13,56
"Yuil' Sk ",9,63.66668,69.600012,13,96
"Pinega ",20,64.700014,43.383341,12.55,100
"Arhangel'Sk ",20,64.50001,40.733348,12.45,100
"Berezovo ",20,63.933352,65.050001,12.4,100
"Dvinskij Bereznik ",11,62.816683,42.783349,12.3636363636364,81
"Oslo / Gardermoen ",20,60.200004,11.083335,12.25,90
"Verhneimbatsk ",20,63.150003,87.950019,12.25,97
"Vanzil'- Kynak ",20,60.350007,84.083335,12.1,99
"Severo-Enisejsk ",13,60.366674,93.033334,12.0769230769231,99
"Ust'- Cil'Ma ",20,65.433342,52.266672,12,100
"Erbogacen ",20,61.266672,108.016667,11.95,100
"Njurba ",20,63.283339,118.33334,11.85,100
"Kolezma ",8,64.233338,35.883351,11.75,91
"Helsinki-Vantaa ",20,60.316673,24.966686,11.7,100
"Lodejnoe Pole ",12,60.716681,33.550011,11.6666666666667,91
"Vorogovo ",20,61.033334,89.633346,11.55,99
"Jarensk ",16,62.16667,49.116669,11.5,67
"Ohotsky Perevoz ",9,61.866684,135.533344,11.4444444444444,92
