YEAR,Agata ,Akurnes ,Aleksandrovskoe ,Alesund / Vigra ,Amderma ,Amga ,Anadyr' ,Arhangel'Sk ,Arka ,Bajkit ,"Baker Lake A, Nu ",Bardufoss ,Batamaj ,BEAVER CREEK ARPT,Belozersk ,Berezovo ,Bergen / Florida ,BETHEL AIRPORT,BETTLES AIRPORT,Bjornoya ,Bodo Vi ,Bor ,Brata ,"Cambridge Bay A, Nu ",Cherdyn ,Chernishevskij ,Cherskij ,Chokurdah ,"Coppermine, N. W. T. ","Coral Harbour, N. W. T. ",Curapca ,DAWSON CITY,DEADHORSE AIRPORT,Drevsjo ,Dzalinda ,Dzardzan ,Erbogacen ,Fagernes ,FAIRBANKS INTERNATIONAL,FARO,Fokstua Ii ,FORT GOOD HOPE,FORT MCPHERSON,FORT RESOLUTION,"Fort Simpson, N. W. T. ","Fort Smith, N. W. T. ",Gajny ,GULKANA AIRPORT,Hanty-Mansijsk ,Hatanga ,"Hay River, N. W. T. ",Helsinki-Vantaa ,Igarka ,Ilirnej ,Im. M. V. Popova ,INUVIK MIKE ZUBKO,Isit ,Ivdel ,Jakutsk ,Jarcevo ,Jubilejnaja ,Kalevala ,Kandalaksa ,Kanin Nos ,Kargopol ,Keflavikurflugvollur ,KENAI MUNICIPAL AIRPORT,Kirkjubaejarklaustur ,Kjusjur ,Kojnas ,Kotlas ,Krasnoscel'E ,Lensk ,Lerwick ,Lovozero ,Lulea / Kallax ,M.K.(MUDHOLE) SMITH ARPT,Malye Karmakuly ,Maresale ,MAYO,MCGRATH AIRPORT,Medvezegorsk ,MERRILL FIELD AIRPORT,Murmansk ,Muzi ,Myken ,Nar'Jan-Mar ,Niinisalo ,Njaksimvol ,Njurba ,NOME AIRPORT,"Norman Wells, N. W. T. ",Ob. Jacevo ,Ojmjakon ,Oktjabr'Skoe ,Olekminsk ,Onega ,Orland Iii ,Oslo / Gardermoen ,Ostrov Dikson ,Ostrov Kotel'Nyj ,Padun ,PALMER MUNICIPAL AIRPORT,PAULATUK,Pechora ,Petrozavodsk ,Pinega ,Pjalica ,Pokrovskaja ,Pudoz ,RALPH M CALHOUN MEML ARPT,RALPH WIEN MEMORIAL AIRPORT,"Rankin Inlet, N. W. T. ",Reboly ,"Resolute, N. W. T. ",Reykjavik ,Roros ,Saim ,Salehard ,Sangary ,Saskylah ,Sejmchan ,Selagoncy ,Senkursk ,Skrova Fyr ,Sletnes Fyr ,Sojna ,Sortavala ,Sortland,Sosva ,Sula ,Suntar ,Sura ,Surgut ,Syktyvkar ,Sym ,TALKEETNA AIRPORT,Tarko-Sale ,Tazovskoe ,TED STEVENS ANCHORAGE INTL,Teriberka ,Tiksi ,Tompo ,Troicko-Pecherskoe ,Tura ,Turuhansk ,Uhta ,Umba ,Ust'- Cil'Ma ,Ust'- Kulom ,Ust'- Maja ,Ust'- Usa ,Vanavara ,Vanzil'- Kynak ,Vardo ,Vel'Sk ,Venabu ,Verhneimbatsk ,Verhojansk ,Vesljana ,Vestmannaeyjar ,Vidsel ,Viljujsk ,Vorkuta ,Vozega ,Vyborg ,WATSON LAKE,"Yellowknife, N. W. T. ",Zhigansk ,Zizgin ,Zyrjanka 
2000,4,1,17,4,3,13,0,16,3,12,3,1,11,0,26,7,27,0,2,1,1,15,1,1,18,12,3,3,8,2,12,0,0,6,3,1,2,2,2,1,1,1,0,0,21,23,24,0,19,2,10,14,14,0,2,0,6,22,10,12,0,19,9,0,25,2,0,1,1,9,17,7,13,7,5,6,0,0,0,0,0,22,0,8,9,3,5,13,1,10,0,10,23,9,14,18,20,6,16,0,0,9,0,0,11,23,6,4,12,20,1,0,1,10,0,4,2,16,3,13,0,3,3,14,1,0,5,23,1,6,0,16,9,8,19,3,0,5,4,0,2,0,6,17,2,4,13,5,11,17,6,7,17,3,3,16,3,11,8,12,1,0,8,2,27,20,0,6,11,2,4
2001,0,5,33,7,1,16,0,11,7,16,3,1,9,0,13,12,15,0,0,2,7,28,2,0,19,22,0,0,1,1,7,0,0,5,4,1,5,3,1,0,2,0,0,0,19,20,17,0,24,8,11,13,9,0,0,0,2,22,7,26,1,12,6,0,13,2,0,1,0,0,12,4,18,2,5,4,0,1,4,3,0,15,0,3,5,2,4,6,4,14,1,8,17,11,14,12,11,6,13,1,0,5,0,0,16,16,13,2,10,13,1,0,1,9,0,0,7,11,7,6,1,6,5,17,1,0,2,9,2,6,0,15,15,7,12,7,0,13,9,0,0,1,15,12,10,22,14,8,6,15,21,10,19,13,3,13,4,20,2,9,0,0,11,2,20,15,0,5,4,5,3
2002,7,1,14,5,3,10,0,5,3,23,1,2,12,0,14,9,11,0,1,0,8,13,4,0,6,29,1,1,2,0,10,0,0,9,1,0,12,7,2,0,5,2,1,0,13,9,15,1,17,4,8,14,10,0,0,0,4,9,9,22,2,19,15,0,14,0,0,0,2,6,13,5,20,3,7,2,0,0,1,0,0,15,0,2,9,4,6,9,0,11,0,9,17,14,9,16,7,17,16,2,1,9,0,0,10,8,5,1,9,7,1,0,1,13,0,1,2,9,7,14,2,13,7,18,1,0,5,21,3,8,0,16,10,5,13,5,0,13,6,0,1,5,21,10,10,12,11,7,7,13,16,8,19,4,1,16,8,11,5,8,1,0,12,6,17,12,0,3,8,0,5
2003,2,2,24,6,5,18,0,20,2,5,6,2,12,0,18,23,8,0,0,1,10,10,1,2,18,13,2,1,3,2,11,0,0,2,2,0,10,3,0,0,3,0,0,0,11,18,29,0,21,4,14,8,7,0,5,0,10,23,14,19,2,23,8,0,21,2,0,2,3,17,18,8,20,7,6,1,0,0,3,0,0,18,0,5,5,2,8,16,13,10,1,5,10,12,24,19,11,3,12,1,0,8,0,0,23,16,15,3,12,17,0,0,2,9,1,1,2,9,11,8,1,8,5,15,3,0,2,22,3,17,0,13,23,10,24,2,0,15,9,0,3,1,15,22,3,3,17,8,22,23,20,20,11,9,3,18,3,3,2,17,5,1,7,6,31,17,0,7,9,1,3
2004,5,0,23,3,3,10,1,10,1,11,2,1,4,0,18,11,20,1,4,3,1,26,0,0,19,8,1,0,0,0,5,0,0,1,0,2,15,1,0,0,2,0,0,0,5,5,28,0,9,0,3,15,6,0,1,0,12,16,7,21,1,15,13,2,17,0,0,1,2,9,16,9,9,3,7,0,0,1,0,0,2,15,0,6,8,7,11,9,3,7,0,4,31,3,14,17,13,9,10,1,0,10,0,0,17,11,9,6,4,17,2,0,1,10,1,1,0,13,6,6,0,4,0,15,1,0,2,15,0,12,1,13,18,8,23,8,0,7,7,2,3,0,11,17,8,12,14,8,8,26,9,8,22,12,0,18,3,15,2,12,1,0,7,5,23,19,0,6,1,4,4
2005,10,0,26,13,2,11,0,9,6,18,0,0,10,0,17,10,19,0,22,0,1,22,0,0,17,21,6,1,0,0,9,0,0,0,5,2,18,1,22,0,1,0,0,0,13,19,16,17,14,3,13,9,3,5,1,0,18,16,14,29,1,15,10,1,17,0,0,0,0,14,21,10,23,5,5,0,1,0,3,3,12,12,1,6,9,0,13,2,7,22,1,5,20,12,18,20,11,6,6,0,0,6,4,0,14,10,13,2,13,12,9,1,0,4,0,0,1,10,9,11,0,11,0,16,1,0,2,11,3,12,1,11,24,7,17,11,1,7,6,8,4,4,10,16,7,11,21,5,14,17,13,12,28,6,1,19,3,15,5,16,0,4,6,10,21,14,2,8,7,0,6
2006,11,0,16,10,4,17,1,12,0,10,1,4,9,0,10,13,30,2,7,0,3,16,2,3,19,14,3,0,4,1,7,0,0,0,0,1,10,5,7,1,3,0,2,0,18,20,24,4,17,1,12,10,10,4,1,1,14,21,13,14,2,14,12,0,16,0,0,1,7,0,15,7,12,6,6,0,0,1,1,3,11,13,0,11,8,1,5,3,6,14,0,8,27,9,17,16,7,7,15,0,0,9,1,1,18,11,9,6,18,11,5,0,1,7,0,0,2,7,10,11,2,13,0,20,0,0,0,8,1,8,1,14,14,8,24,12,1,6,5,1,3,7,7,20,5,12,14,6,12,19,9,9,12,19,3,23,6,15,4,14,0,0,7,6,25,8,0,11,8,3,3
2007,4,0,21,12,4,11,3,14,6,15,1,1,9,0,16,19,16,3,30,0,1,18,0,1,21,13,3,0,1,1,6,1,0,3,4,3,12,0,25,1,0,3,0,0,11,12,24,19,18,6,8,16,4,2,0,0,8,19,8,17,2,11,6,0,16,1,1,0,6,11,27,10,20,1,3,2,2,1,1,4,19,14,1,5,6,3,6,12,12,11,0,6,34,8,16,18,22,11,9,0,1,3,0,0,14,13,14,2,6,15,7,2,3,5,0,0,0,11,10,3,1,13,5,21,0,0,4,18,0,9,0,10,17,6,20,15,0,12,10,1,1,4,14,20,9,11,15,9,17,20,19,17,18,2,1,18,2,12,11,11,0,0,6,9,23,17,1,2,11,5,4
2008,1,0,18,13,2,9,0,9,3,9,2,3,6,0,17,13,31,1,10,0,4,14,0,1,14,15,0,0,3,1,6,1,3,5,8,6,15,5,16,0,3,0,0,0,12,24,25,19,18,1,9,12,4,1,0,0,9,15,7,20,2,8,3,1,14,0,0,2,9,9,16,3,21,8,3,1,0,3,1,0,4,12,3,4,9,3,3,10,1,8,2,10,20,14,11,15,5,12,10,1,0,2,0,0,10,11,8,3,8,9,8,1,2,7,0,2,3,6,3,13,1,13,0,16,0,0,3,13,1,8,0,10,11,5,15,18,0,4,5,2,2,3,9,19,7,7,16,4,8,16,15,9,14,2,0,11,5,11,11,17,3,0,12,5,22,16,0,6,6,1,4
2009,12,1,18,11,4,7,0,10,9,12,3,1,12,0,17,13,13,1,11,0,1,18,2,0,18,18,0,2,1,1,3,0,0,0,10,6,21,2,8,0,6,1,0,0,12,10,27,14,15,6,8,11,5,2,0,0,8,15,8,17,0,16,12,0,25,0,0,2,4,4,19,4,15,2,5,1,0,2,2,2,6,17,0,4,7,0,5,5,8,15,1,8,16,13,15,19,18,5,14,2,0,7,6,0,17,9,13,2,6,15,6,2,3,9,0,0,4,11,3,11,3,10,0,26,0,1,4,14,1,10,0,11,13,6,20,22,2,8,8,1,3,4,19,15,3,10,17,12,3,18,13,6,19,3,1,16,4,10,5,12,0,3,15,3,27,11,2,5,7,6,2
